ID,SL_C21h0_1,SL_C21h0_2,SL_C21h0_3,SL_T21h2_1,SL_T21h2_2,SL_T21h2_3,SL_GAT21h2_1,SL_GAT21h2_2,SL_GAT21h2_3,SL_GAT21h4_1,SL_GAT21h4_2,SL_GAT21h4_3
Gene255,7.864722739,7.861729694,7.639619767,7.756582119,7.810796341,7.744142331,7.741104806,7.601791365,8.236663404,7.760053131,7.686205727,7.606344893
Gene256,7.865815271,7.917334572,7.873428692,7.57173493,7.485179316,7.648715633,7.463813759,7.577086407,7.457935173,7.716173308,7.642576499,7.688899039
Gene257,7.867846411,7.963735938,7.913129875,8.007337168,8.076895835,8.033964704,8.432393601,8.276096483,8.161187421,8.623042014,8.112987539,8.030547065
Gene258,7.869706985,8.056847942,7.822886913,7.505474084,7.653328933,7.696342238,7.870055018,7.83397041,7.830024367,7.722062407,7.819302672,7.952254683
Gene259,7.874105391,8.189663108,8.10388077,8.063043035,8.186955088,8.325475051,8.232082306,8.297311507,9.088216746,8.03959293,8.071784168,8.210840231
Gene260,7.882592194,8.131841199,8.013586604,7.925370985,8.285114167,7.962584803,8.779157246,8.464098756,8.224208364,8.189619296,8.042558348,8.03193382
Gene261,7.886781014,7.719743259,7.876773126,7.847166876,8.058565191,7.96430683,8.002619627,8.047216743,7.864634072,7.768774745,7.799889349,7.934680193
Gene262,7.891890804,8.033997375,7.895337769,7.949879036,8.054605906,7.993420151,8.098673819,7.935390419,8.693166193,8.068683538,8.182992303,8.173713957
Gene263,7.899643085,7.948079373,7.820622629,7.811533542,7.763829235,7.827218973,7.825543492,7.77251107,8.499506579,7.721832531,7.746063998,7.607003171
Gene264,7.917687892,7.832459541,7.874035981,8.371008709,8.222966114,8.189351065,8.20502237,8.071564133,8.296836545,8.047197317,7.985806431,8.053907836
Gene265,7.918179246,7.995231549,7.927574157,7.979645917,7.896006092,7.940876507,7.994043281,7.712360857,8.973185254,7.774615637,7.885134001,7.74110005
Gene266,7.925483046,7.902461107,8.077972887,7.850435961,7.740073405,8.021141193,7.675070539,7.871351125,7.56091003,7.551693024,7.495079623,7.609166132
Gene267,7.926280733,8.201584188,8.060755323,8.101813086,7.946522023,8.106114094,8.184642533,7.946808881,8.05207027,8.072630994,8.197484236,8.004260308
Gene268,7.926653404,8.058128693,8.144533631,8.588344179,7.844521558,7.902271181,7.634504166,8.074233798,7.752783352,7.080518263,6.93878356,6.910638275
Gene269,7.926826755,7.879579133,7.833187522,7.910857678,7.89078337,7.93870635,7.752912475,7.971662799,7.890003196,7.797206422,7.744538743,7.802725768
Gene270,7.927378446,8.153639482,7.988954666,7.979036151,8.172624444,8.33013579,8.333767013,8.262851526,8.874976274,8.050286311,8.106772461,8.189960591
Gene271,7.935984762,7.874600157,7.932420879,7.94164636,7.949191997,7.797375646,7.974029718,8.019097828,8.000245703,7.819002348,7.826520182,7.972901516
Gene272,7.942313117,7.977189103,8.095064724,7.973298517,7.542859669,7.612737286,7.443646462,7.726353503,7.522506445,7.269096933,7.194556201,7.151745088
Gene273,7.948189523,8.237740738,8.330288263,9.218942647,8.387893125,8.251962605,8.102913605,8.506954618,8.378515657,7.784182813,7.847531986,7.556922787
Gene274,7.948930692,7.860504014,7.888686382,7.838513671,7.921487313,7.890026775,7.751420401,7.743864434,7.856437433,7.981854901,7.921595828,7.889932564
Gene275,7.948996193,7.982692252,7.909948037,7.668315256,7.766926615,7.701734924,7.564207652,7.538148496,7.60130154,7.747865179,7.705717798,7.687028398
Gene276,7.960338091,7.976649899,8.145640628,8.001195508,7.897616004,7.83283902,8.070943581,8.088895877,8.15853162,8.245823237,8.306850843,8.245895152
Gene277,7.963987112,8.013359045,7.898190193,8.16398445,7.994385413,8.063779881,8.003094255,7.835966299,7.78732828,7.485855982,7.539891182,7.205975114
Gene278,7.978351723,7.90104575,8.087766273,8.498595352,8.117197554,8.302319427,8.08755401,8.318830179,8.016392031,7.815761151,7.799652241,7.689387229
Gene279,7.990205154,8.091519608,8.193417316,8.285904074,7.939755747,7.887464133,7.388429109,8.120473805,7.489851477,7.409092849,7.37362062,7.281277198
Gene280,8.008654615,7.969374398,7.985824667,8.034423892,8.013331781,8.037317405,8.288160481,8.42539411,8.13637373,7.932412579,7.961152132,8.056890853
Gene281,8.011476229,7.990755917,7.939689309,8.040941917,8.078399852,8.128318231,8.149397622,8.221253363,8.165988844,8.021708484,8.016776217,8.18102972
Gene282,8.020800075,7.962358371,8.069676963,8.075346755,8.043486331,8.1034664,8.1623097,8.100547202,8.126576377,7.836546875,7.876673117,8.072859503
Gene283,8.032059838,7.936211809,7.948999724,7.876682714,8.102268301,8.176457447,8.145954581,8.330872317,8.177320108,7.924748189,8.021578064,8.155688614
Gene284,8.040450456,8.118673555,8.134538723,8.089084974,8.169441091,8.151461614,8.237142655,8.119336172,8.147216963,8.149429918,8.07955078,8.232264538
Gene285,8.060368483,8.108383987,8.28687144,8.40840618,8.216978519,8.290418699,8.417505495,8.230879948,8.412180198,8.261874194,8.418038594,8.196349376
Gene286,8.081493304,8.13783737,8.035769659,8.169106019,8.335574169,8.208900449,8.359607517,8.417098735,8.418289705,8.072883897,8.057963333,8.259776123
Gene287,8.081742809,8.291985466,8.189018128,8.26918409,8.309107466,8.295773393,8.540647896,8.49994285,8.547708885,8.345336274,8.343669918,8.479317949
